Model Condition,Avg Branch Rate,Std error,No. Valid Folders
100gene-100bp,0.391666667,0.026483748,10
100gene-1000bp,0.175000000,0.021889876,10
1000gene-100bp,0.350000000,0.010540926,10
1000gene-1000bp,0.125000000,0.013176157,10
100gene-true,0.025000000,0.012076147,10
1000gene-true,0.000000000,0.000000000,10
,,,
